,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
314,314,2,No,23.81,54.016999999999996,-0.1751907521474496,,,,,,,,
315,315,2,No,24.753,54.711999999999996,-0.20621487973818486,,,,,,,,
316,316,2,No,24.154,53.75899999999999,-0.19789102447600349,,,,,,,,
317,317,2,No,24.424,54.4,-0.19700874172838923,,,,,,,,
318,318,2,No,24.375,54.277,-0.19731443795583936,,,,,,,,
319,319,2,No,25.023000000000003,54.602,-0.22182851297488138,,,,,,,,
320,320,2,No,24.889,54.534,-0.21680090587953793,,,,,,,,
321,321,2,No,0.0,0.0,,,,,,,,,
322,322,2,No,0.0,0.0,,,,,,,,,
323,323,2,No,0.0,0.0,,,,,,,,,
324,324,2,No,0.0,0.0,,,,,,,,,
325,325,2,No,0.0,0.0,,,,,,,,,
326,326,2,No,0.0,0.0,,,,,,,,,
327,327,2,No,0.0,0.0,,,,,,,,,
328,328,2,No,0.0,0.0,,,,,,,,,
329,329,2,No,0.0,0.0,,,,,,,,,
330,330,2,No,0.0,0.0,,,,,,,,,
331,331,2,No,0.0,0.0,,,,,,,,,
